Time,Level,Category,Message,Raw Data
"Jun 06, 20:10:25.447","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer"",""confidence"":1,""numWords"":11,""duration"":3231,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:25.929","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions"",""confidence"":1,""numWords"":13,""duration"":3714,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:26.638","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his"",""confidence"":1,""numWords"":15,""duration"":4422,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:27.368","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, how"",""confidence"":1,""numWords"":17,""duration"":5152,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:28.328","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vard"",""confidence"":1,""numWords"":19,""duration"":6111,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:29.035","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vardasync or task"",""confidence"":1,""numWords"":21,""duration"":6819,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:30.001","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vardasync or Taskflow AI or"",""confidence"":1,""numWords"":23,""duration"":7786,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:30.475","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vardasync or Taskflow AI, or we can go"",""confidence"":1,""numWords"":26,""duration"":8259,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:30.716","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vardasync or Taskflow AI, or we can go ahead and"",""confidence"":1,""numWords"":28,""duration"":8499,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:31.211","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I can answer any questions about his background, projects like Vardasync or Taskflow AI, or we can go ahead and book an"",""confidence"":1,""numWords"":30,""duration"":8995,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
